"link","tdNum","date","status","value","page"
"https://www.ziffit.com/en-gb/trades/4775418","","05/06/2021","Saved","£80.48",1
"https://www.ziffit.com/en-gb/trades/4774546","","05/06/2021","Saved","£30.00",1
"https://www.ziffit.com/en-gb/trades/4774560","","05/06/2021","Saved","£5993.70",1
"https://www.ziffit.com/en-gb/trades/4656087","","14/05/2021","Saved","£293.80",1
"https://www.ziffit.com/en-gb/trades/4775418","","05/06/2021","Saved","£80.48",1
"https://www.ziffit.com/en-gb/trades/4774546","","05/06/2021","Saved","£30.00",1
"https://www.ziffit.com/en-gb/trades/4774560","","05/06/2021","Saved","£5993.70",1
"https://www.ziffit.com/en-gb/trades/4656087","","14/05/2021","Saved","£293.80",1
"https://www.ziffit.com/en-gb/trades/4775418","","05/06/2021","Saved","£80.48",2
"https://www.ziffit.com/en-gb/trades/4774546","","05/06/2021","Saved","£30.00",2
"https://www.ziffit.com/en-gb/trades/4774560","","05/06/2021","Saved","£5993.70",2
"https://www.ziffit.com/en-gb/trades/4656087","","14/05/2021","Saved","£293.80",2
