"ISBN","Bucket"
"9780060548926",76
"9780060567088",239
"9780060789282",107
"9780060837044",79
"9780060842499",193
"9780060852382",99
"9780060856175",171
"9780060936600",111
"9780061015526",145
"9780061134029",57
"9780061137143",144
"9780061143892",228
"9780061175695",67
"9780061231643",110
"9780061233791",245
"9780061350351",142
"9780061769528",124
"9780061804366",99
"9780062049155",105
"9780062116079",213
"9780062197887",50
"9780062211316",100
"9780062213839",131
"9780062265715",101
"9780062307552",222
"9780062325068",131
"9780062348241",238
"9780062439727",233
"9780062740861",185
"9780141196657",235
"9780141353241",147
"9780142426685",157
"9780142429327",198
"9780143126836",66
"9780143129431",111
"9780143144465",123
"9780143145752",145
"9780147515575",159
"9780152054663",185
"9780190259389",198
"9780190462536",242
"9780190616144",177
"9780195091618",190
"9780195148145",210
"9780195148244",92
"9780195154344",68
"9780195156706",217
"9780195168181",63
"9780195170009",91
"9780195176162",175
"9780195188523",74
"9780195300369",246
"9780195304282",103
"9780195307948",207
"9780195326048",230
"9780195328790",140
"9780195333015",71
"9780195337112",200
"9780195339888",64
"9780195366273",204
"9780195370928",131
"9780195381368",236
"9780195384024",78
"9780195386561",225
"9780195391633",173
"9780195393132",167
"9780195393873",121
"9780195395105",71
"9780198389156",79
"9780198610250",146
"9780199360345",123
"9780199389964",86
"9780199391394",156
"9780199584383",83
"9780199604388",68
"9780199642526",179
"9780199642854",164
"9780199737109",122
"9780199765812",71
"9780199774081",152
"9780199792078",244
"9780199793242",229
"9780199858170",247
"9780199895847",65
"9780199918065",167
"9780228100003",171
"9780228100027",174
"9780228100096",202
"9780228100294",237
"9780228100300",179
"9780228100331",119
"9780228100829",169
"9780228101208",71
"9780228101338",200
"9780228101604",235
"9780233005065",94
"9780233005461",165
"9780233005560",111
"9780233005645",173
"9780233005676",214
"9780233005706",136
"9780233005737",133
"9780271025377",247
"9780271033389",141
"9780271033709",189
"9780271035291",225
"9780271035796",76
"9780271052526",243
"9780271056401",172
"9780271058719",224
"9780271060545",61
"9780295986777",247
"9780295994635",129
"9780295999920",175
"9780299183400",88
"9780300108620",223
"9780300110166",82
"9780300116915",137
"9780300118902",111
"9780300119169",55
"9780300121896",180
"9780300135565",235
"9780300149753",93
"9780300166576",107
"9780300172409",144
"9780300175530",237
"9780300176711",124
"9780300186192",98
"9780300196955",209
"9780300197433",88
"9780300200683",90
"9780300203646",86
"9780300204216",177
"9780300204308",91
"9780300204506",240
"9780300204667",57
"9780300207613",166
"9780300207811",199
"9780300208108",208
"9780300208559",91
"9780300208764",201
"9780300208870",182
"9780300209426",182
"9780300210965",186
"9780300211610",186
"9780300212501",216
"9780300212730",201
"9780300214215",225
"9780300214420",110
"9780300214680",216
"9780300214703",200
"9780300215021",132
"9780300216899",67
"9780300217100",210
"9780300218381",143
"9780300221664",107
"9780300221763",242
"9780300221930",209
"9780300221961",156
"9780300222708",185
"9780300222838",98
"9780300222937",157
"9780300223149",110
"9780300223521",241
"9780300223989",101
"9780300226416",118
"9780300226430",59
"9780300226928",199
"9780300226966",243
"9780300227123",174
"9780300228267",235
"9780300228335",75
"9780300228779",249
"9780300228830",198
"9780300230628",214
"9780300232899",172
"9780300233537",81
"9780300233827",210
"9780300234077",215
"9780300234855",237
"9780300236132",188
"9780300236743",141
"9780300238259",82
"9780300240177",150
"9780300240207",82
"9780300251760",189
"9780306815690",158
"9780306817458",57
"9780306823534",226
"9780307236579",184
"9780307236586",188
"9780307267597",218
"9780307268310",166
"9780307268839",145
"9780307291714",132
"9780307291905",218
"9780307291967",70
"9780307337382",171
"9780307346117",163
"9780307346131",117
"9780307346834",178
"9780307351753",169
"9780307352200",90
"9780307381477",216
"9780307383495",246
"9780307394033",100
"9780307405272",146
"9780307405746",136
"9780307406248",75
"9780307406262",219
"9780307406996",78
"9780307407948",169
"9780307408723",77
"9780307409188",64
"9780307409362",134
"9780307409461",65
"9780307450791",137
"9780307451408",219
"9780307452481",99
"9780307453051",152
"9780307453075",145
"9780307454676",98
"9780307460233",78
"9780307460882",210
"9780307461988",204
"9780307462121",116
"9780307472762",131
"9780307586377",77
"9780307586407",73
"9780307586629",105
"9780307595133",207
"9780307700254",141
"9780307717184",169
"9780307717559",143
"9780307886873",74
"9780307929815",139
"9780307930057",50
"9780307931047",195
"9780307954480",237
"9780307956484",108
"9780307957306",58
"9780310326298",85
"9780310326380",211
"9780310452577",120
"9780310713982",122
"9780310753476",208
"9780310753483",96
"9780310761433",182
"9780312310875",231
"9780312371234",176
"9780312590956",147
"9780316003490",114
"9780316067164",93
"9780316205894",65
"9780316220996",130
"9780316221023",105
"9780316251648",88
"9780316282321",140
"9780316378796",137
"9780316399722",184
"9780316523943",94
"9780345501769",123
"9780345505408",66
"9780345512307",174
"9780345517159",205
"9780345517166",213
"9780345518439",171
"9780345518538",129
"9780345521606",112
"9780345531261",229
"9780345544193",150
"9780374190613",220
"9780375411311",246
"9780375423222",122
"9780375435416",190
"9780375504549",211
"9780375723117",183
"9780375757075",68
"9780375841811",74
"9780375842696",131
"9780375843204",80
"9780375846977",128
"9780375851629",77
"9780375854132",109
"9780375861697",121
"9780375861918",197
"9780375863370",172
"9780375870859",193
"9780375958410",131
"9780376009258",203
"9780376012531",107
"9780385344234",175
"9780385345552",143
"9780385364201",105
"9780385365062",84
"9780385369985",201
"9780385370288",169
"9780385384094",89
"9780385387668",132
"9780385387736",195
"9780385391924",145
"9780385496827",152
"9780385506380",118
"9780385522311",76
"9780385735735",235
"9780385737937",181
"9780385740692",155
"9780385753685",70
"9780393021240",112
"9780393046120",93
"9780393051360",54
"9780393057706",97
"9780393058932",62
"9780393058994",164
"9780393059045",153
"9780393059137",210
"9780393061253",65
"9780393061505",194
"9780393062731",92
"9780393064834",85
"9780393065336",69
"9780393065589",242
"9780393065862",132
"9780393067569",58
"9780393069129",66
"9780393069136",83
"9780393073270",211
"9780393073713",67
"9780393077469",202
"9780393080162",219
"9780393080995",141
"9780393082432",186
"9780393084566",184
"9780393088809",223
"9780393239928",180
"9780393240016",223
"9780393240382",118
"9780393240801",188
"9780393240894",85
"9780393240955",95
"9780393241075",123
"9780393241310",121
"9780393241693",175
"9780393241785",65
"9780393243147",68
"9780393245547",50
"9780393247008",58
"9780393248159",96
"9780393248999",137
"9780393254778",241
"9780393285321",51
"9780393321630",68
"9780393326574",225
"9780393326697",96
"9780393330977",52
"9780393331585",236
"9780393333916",149
"9780393341959",149
"9780393343595",162
"9780393345872",110
"9780393349429",137
"9780393351040",94
"9780393351200",205
"9780393351651",240
"9780393352085",120
